Total Polity questions in DB: 5426

Chapters with data: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 60, 61, 62, 63, 64, 65, 66, 67, 68, 70, 71, 74, 75, 76, 77, 78, 79, 95]

Ch |  L1   L2   L3 | TOTAL | STATUS
----------------------------------------------------
 1 |   31   30   30 |    91 | PASS
 2 |   30   30   30 |    90 | PASS
 3 |   30   30   30 |    90 | PASS
 4 |   30   30   30 |    90 | PASS
 5 |   30   30   30 |    90 | PASS
 6 |   30   30   30 |    90 | PASS
 7 |   30   30   30 |    90 | PASS
 8 |   30   30   30 |    90 | PASS
 9 |   30   30   30 |    90 | PASS
10 |   30   30   30 |    90 | PASS
11 |   35   30   30 |    95 | PASS
12 |   30   30   30 |    90 | PASS
13 |   31   30   30 |    91 | PASS
14 |   30   30   30 |    90 | PASS
15 |   61   58   60 |   179 | PASS
16 |   30   30   30 |    90 | PASS
17 |   34   30   30 |    94 | PASS
18 |   33   30   30 |    93 | PASS
19 |   35   30   30 |    95 | PASS
20 |   35   30   30 |    95 | PASS
21 |   30   30   30 |    90 | PASS
22 |   69   89   30 |   188 | PASS
23 |   35   30   30 |    95 | PASS
24 |   30   30   30 |    90 | PASS
25 |   30   30   30 |    90 | PASS
26 |   35   30   30 |    95 | PASS
27 |   36   30   30 |    96 | PASS
28 |   36   30   30 |    96 | PASS
29 |   30   30   30 |    90 | PASS
30 |   35   30   30 |    95 | PASS
31 |   35   30   30 |    95 | PASS
32 |   30   30   30 |    90 | PASS
33 |   35   30   30 |    95 | PASS
34 |   30   30   30 |    90 | PASS
35 |   30   30   28 |    88 | FAIL
36 |   30   30   30 |    90 | PASS
37 |   30   30   30 |    90 | PASS
38 |   60   58   51 |   169 | PASS
40 |   30   30   30 |    90 | PASS
41 |   30   30   30 |    90 | PASS
42 |   30   30   30 |    90 | PASS
43 |   30   30   30 |    90 | PASS
44 |   30   32   30 |    92 | PASS
45 |   30   30   30 |    90 | PASS
46 |   30   30   30 |    90 | PASS
47 |   15   15   30 |    60 | FAIL
48 |    0    0   30 |    30 | FAIL
49 |    3    9    8 |    20 | FAIL
50 |    0   10    6 |    16 | FAIL
51 |    2    7    7 |    16 | FAIL
52 |    5    8    8 |    21 | FAIL
53 |    2    6    8 |    16 | FAIL
54 |    2    7    8 |    17 | FAIL
55 |    1    8    7 |    16 | FAIL
56 |    3   10    7 |    20 | FAIL
57 |   30   30   30 |    90 | PASS
58 |    7    7    7 |    21 | FAIL
60 |   10   10   28 |    48 | FAIL
61 |   10   10   10 |    30 | FAIL
62 |   10   10   10 |    30 | FAIL
63 |   10   10   10 |    30 | FAIL
64 |   10   10   10 |    30 | FAIL
65 |   10   10   10 |    30 | FAIL
66 |   19   20   30 |    69 | FAIL
67 |   14   14   26 |    54 | FAIL
68 |    0    2    9 |    11 | FAIL
70 |   14   18   28 |    60 | FAIL
71 |    7   10    9 |    26 | FAIL
74 |    5   10    7 |    22 | FAIL
75 |    8   10   29 |    47 | FAIL
76 |    9   10   19 |    38 | FAIL
77 |   10   10   10 |    30 | FAIL
78 |    0   30   41 |    71 | FAIL
79 |    0   30   39 |    69 | FAIL
95 |    1    6    4 |    11 | FAIL

PASS: 45 chapters -> [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 36, 37, 38, 40, 41, 42, 43, 44, 45, 46, 57]

FAIL/GAP: 30 chapters -> [35, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 58, 60, 61, 62, 63, 64, 65, 66, 67, 68, 70, 71, 74, 75, 76, 77, 78, 79, 95]

Chapters with ZERO questions (not in DB at all): [39, 59, 69, 72, 73, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 96, 97, 98, 99]
