Ch  | Have_L1 | Need_L1 | Have_L2 | Need_L2 | Have_L3 | Need_L3 | Total | Gap
------------------------------------------------------------------------------------------
  1  |       2 |      28 |      17 |      13 |      16 |      14 |    35 |  55 NEED
  2  |       6 |      24 |      15 |      15 |      18 |      12 |    39 |  51 NEED
  3  |       5 |      25 |      22 |       8 |      26 |       4 |    53 |  37 NEED
  4  |      17 |      13 |      24 |       6 |      29 |       1 |    70 |  20 NEED
  5  |      12 |      18 |      26 |       4 |      25 |       5 |    63 |  27 NEED
  6  |      19 |      11 |      29 |       1 |      28 |       2 |    76 |  14 NEED
  7  |      16 |      14 |      26 |       4 |      30 |       0 |    72 |  18 NEED
  8  |      28 |       2 |      22 |       8 |      30 |       0 |    80 |  10 NEED
  9  |      28 |       2 |      30 |       0 |      30 |       0 |    88 |   2 NEED
 10  |      29 |       1 |      29 |       1 |      29 |       1 |    87 |   3 NEED
 11  |      35 |       0 |      30 |       0 |      30 |       0 |    95 |   0
 12  |      26 |       4 |      30 |       0 |      30 |       0 |    86 |   4 NEED
 13  |      31 |       0 |      30 |       0 |      30 |       0 |    91 |   0
 14  |      27 |       3 |      30 |       0 |      30 |       0 |    87 |   3 NEED
 15  |      61 |       0 |      58 |       0 |      60 |       0 |   179 |   0
 16  |       0 |      30 |       0 |      30 |       0 |      30 |     0 |  90 NEED
 17  |      34 |       0 |      30 |       0 |      30 |       0 |    94 |   0
 18  |      33 |       0 |      30 |       0 |      30 |       0 |    93 |   0
 19  |      35 |       0 |      29 |       1 |      29 |       1 |    93 |   2 NEED
 20  |      35 |       0 |      30 |       0 |      30 |       0 |    95 |   0
 21  |      30 |       0 |      30 |       0 |      30 |       0 |    90 |   0
 22  |      69 |       0 |      89 |       0 |      29 |       1 |   187 |   1 NEED
 23  |      35 |       0 |      29 |       1 |      30 |       0 |    94 |   1 NEED
 24  |      25 |       5 |      20 |      10 |       0 |      30 |    45 |  45 NEED
 25  |       0 |      30 |       0 |      30 |       0 |      30 |     0 |  90 NEED
 26  |      35 |       0 |      30 |       0 |      30 |       0 |    95 |   0
 27  |       6 |      24 |       0 |      30 |       0 |      30 |     6 |  84 NEED
 28  |       6 |      24 |       0 |      30 |       0 |      30 |     6 |  84 NEED
 29  |      18 |      12 |      30 |       0 |      30 |       0 |    78 |  12 NEED
 30  |      35 |       0 |      30 |       0 |      30 |       0 |    95 |   0
 31  |      35 |       0 |      30 |       0 |      30 |       0 |    95 |   0
