Date	Today Cash	Expense	Total Sale
24-Sep	9050	1160	6740
25-Sep	6220	5000	2890
26-Sep	7220	0	2180
27-Sep	7150	1980	2160
28-Sep	6260	2654	3694
29-Sep	5190	2827	1717
30-Sep	5900	870	2150

Date	Today Cash	Expense	Total Sale
1-Oct-23	6810	3190	2280
2-Oct-23	3800	4290	2280
3-Oct-23	2850	2615	2240
4-Oct-23	3880	0	2395
5-Oct-23	5250	0	1570
6-Oct-23	5450	1240	3030
7-Oct-23	6590	645	2955
8-Oct-23	5200	4860	6560
9-Oct-23	3700	2950	1830
10-Oct-23	600	3500	2130
11-Oct-23	1550	0	1340
12-Oct-23	1650	1960	3010
13-Oct-23	3010	0	2210
14-Oct-23	3120	1775	2845
15-Oct-23	3470	2200	3570
16-Oct-23	3360	675	1565
17-Oct-23	4780	290	2300
18-Oct-23	4260	1655	1650
19-Oct-23	4250	1480	2592
20-Oct-23	5160	525	2505
21-Oct-23	3170	10000	1674
22-Oct-23	3940	200	1700
23-Oct-23	5500	286	3146
24-Oct-23	2250	3670	2030
25-Oct-23	1180	1614	1964
26-Oct-23	2940	0	2430
27-Oct-23	1420	4820	2560
28-Oct-23	1890	2285	3022
29-Oct-23	4280	3230	5970
30-Oct-23	2830	2493	2421
31-Oct-23	3720	0	1889

Date	Today Cash	Expense	Total Sale
1-Nov	3420	1410	1972
2-Nov	5190	550	2589.75
3-Nov	3490	1798	3410
4-Nov	4030	1420	3233
5-Nov	3570	2550	3684
6-Nov	4900	672	2955
7-Nov	2950	4060	2665
8-Nov	2700	1210	1465
9-Nov	3360	0	1375
15-Nov	4920	15540	10203
16-Nov	3620	3200	4802
17-Nov	4410	1600	3313
18-Nov	3850	3339	4260
19-Nov	3220	2780	2250
20-Nov	3450	695	1344
21-Nov	4410	0	1890
22-Nov	5440	3515	2569
23-Nov	4040	2585	3225
24-Nov	2460	3605	3199
25-Nov	2950	3885	4252
26-Nov	2960	2150	3512
27-Nov	3100	1019	1809
28-Nov	3320	1100	1870
29-Nov	3345	2075	3249
30-Nov	3435	3435	3730

Date	Today Cash	Expense	Total Sale
1-Dec	6130	90	3563
2-Dec	4560	4360	3765
3-Dec	3160	4690	4560
4-Dec	2460	1980	1990
5-Dec	3000	1685	3185
6-Dec	7160	130	5050
7-Dec	6750	1860	1800
8-Dec	6780	825	2205
9-Dec	6100	2040	3010
10-Dec	8410	800	4280
11-Dec	1950	7670	2055
12-Dec	3300	120	2800
13-Dec	2720	4646	3595
14-Dec	2700	1530	3190
15-Dec	890	2670	1750
16-Dec	2040	280	1960
17-Dec	2280	3230	4080
18-Dec	4180	1430	4490
19-Dec	2650	2710	2578
20-Dec	3360	4700	2550
21-Dec	2610	1905	2465
22-Dec	1900	2025	2230
23-Dec	1560	1790	2732
24-Dec	4470	375	5005
25-Dec	2960	3495	3685
26-Dec	960	3380	1310
27-Dec	1500	285	1855
28-Dec	1460	1776	2566
29-Dec	1900	0	990
30-Dec	4150	290	3620
31-Dec	5250	5975	5165

Date	Today Cash	Expense	Total Sale
1-Jan	5310	3830	5345
2-Jan	3500	2603	2363
3-Jan	3420	1000	1600
4-Jan	6070	0	3250
5-Jan	1820	5201	2371
