Date	Cash	Expense	Sale
1-Jan	2570	3235	3710
2-Jan	950	1350	2900
3-Jan	880	1255	2475
4-Jan	1910	2623	2948
5-Jan	1770	2730	3320
6-Jan	2730	88	1748
7-Jan	2600	985	3090
8-Jan	600	3705	2195
9-Jan	1950	150	1940
10-Jan	2420	1360	2230
11-Jan	2100	1758	2548
12-Jan	2200	5940	4905
13-Jan	610	1800	2135
14-Jan	2460	1590	4610
15-Jan	1360	2060	2115
16-Jan	2800	308	2818
17-Jan	2640	1580	1705
18-Jan	1000	2155	1385
19-Jan	1760	1960	2410
20-Jan	1380	3896	4146
21-Jan	940	1295	1090
22-Jan	1550	100	1390
23-Jan	1350	2195	3150
24-Jan	670	1738	2358
25-Jan	580	800	1830
26-Jan	770	3405	1960
27-Jan	460	1005	1345

Date	Cash	Expense	Sale
1-Feb	1480	650	1940
2-Feb	630	3884	4464
3-Feb	930	1028	2608
4-Feb	1350	1910	2510
5-Feb	1300	1100	1910
6-Feb	710	1850	2140
7-Feb	880	960	1790
8-Feb	2200	1422	3742
9-Feb	3500	2476	5466
10-Feb	3500	1125	2280
11-Feb	3210	1288	2180
12-Feb	480	5140	1840
13-Feb	2520	1315	4115
14-Feb	610	2585	1760
15-Feb	1110	1550	1930
16-Feb	2120	3828	3908
17-Feb	3120	200	1790
18-Feb	2900	1540	1260
19-Feb	2100	1255	2660
20-Feb	750	1970	2460
21-Feb	1510	1230	2480
22-Feb	1750	1960	3580
23-Feb	2770	1693	3468
24-Feb	1050	3550	1820
25-Feb	1000	1250	2090
26-Feb	1560	2290	2640
27-Feb	2500	890	3690

Date	Cash	Expense	Sale
1-Mar	720	1320	1970
2-Mar	720	1090	3050
3-Mar	1220	1010	1270
4-Mar	2220	350	1980
5-Mar	550	3580	2940
6-Mar	2750	1488	3360
7-Mar	2050	2020	2010
8-Mar	1820	1600	1750
9-Mar	1950	2310	2460
10-Mar	2870	256	2436
11-Mar	2600	1070	1880
